Date,MSFT
2016-09-28,51.855655670166016
2016-09-29,51.29267883300781
2016-09-30,51.47140121459961
2016-10-03,51.310550689697266
2016-10-04,51.149696350097656
2016-10-05,51.50715255737305
2016-10-06,51.59650421142578
2016-10-07,51.650115966796875
2016-10-10,51.86457443237305
2016-10-11,51.10501480102539
2016-10-12,51.03353500366211
2016-10-13,50.86374282836914
2016-10-14,51.310550689697266
2016-10-17,51.13184356689453
2016-10-18,51.52501678466797
2016-10-19,51.408851623535156
2016-10-20,51.15863800048828
2016-10-21,53.31221008300781
2016-10-24,54.5096435546875
2016-10-25,54.500709533691406
2016-10-26,54.179019927978516
2016-10-27,53.705406188964844
2016-10-28,53.4998779296875
2016-10-31,53.544559478759766
2016-11-01,53.437320709228516
2016-11-02,53.106693267822266
2016-11-03,52.910091400146484
