Date,NVDA
2016-09-14,1.4852511882781982
2016-09-15,1.541562795639038
2016-09-16,1.5452511310577393
2016-09-19,1.565661072731018
2016-09-20,1.5513988733291626
2016-09-21,1.5949236154556274
2016-09-22,1.5988582372665405
2016-09-23,1.5971367359161377
2016-09-26,1.5821369886398315
2016-09-27,1.636235237121582
2016-09-28,1.642137050628662
2016-09-29,1.6573834419250488
2016-09-30,1.6849241256713867
2016-10-03,1.683202862739563
2016-10-04,1.6795142889022827
2016-10-05,1.677793025970459
2016-10-06,1.6559075117111206
2016-10-07,1.6438580751419067
2016-10-10,1.6500059366226196
2016-10-11,1.6261528730392456
2016-10-12,1.6335301399230957
2016-10-13,1.60697340965271
2016-10-14,1.622710943222046
2016-10-17,1.6133662462234497
2016-10-18,1.6379567384719849
