Date,PEP
2016-09-29,81.46080780029297
2016-09-30,82.22430419921875
2016-10-03,81.83122253417969
2016-10-04,80.96189880371094
2016-10-05,80.1379165649414
2016-10-06,80.43273162841797
2016-10-07,80.12279510498047
2016-10-10,80.29664611816406
2016-10-11,79.80529022216797
2016-10-12,80.19081115722656
2016-10-13,80.06987762451172
2016-10-14,80.7577896118164
2016-10-17,80.77290344238281
2016-10-18,80.8484878540039
2016-10-19,80.32689666748047
2016-10-20,80.03205871582031
2016-10-21,79.84308624267578
2016-10-24,81.1206283569336
2016-10-25,81.0601577758789
2016-10-26,80.93920135498047
2016-10-27,80.60657501220703
2016-10-28,80.93920135498047
2016-10-31,81.03749084472656
2016-11-01,80.66706848144531
2016-11-02,80.66706848144531
2016-11-03,80.60657501220703
2016-11-04,79.98672485351562
